,,,95% CI,,,,,,,,,,,,,,,,,,,,,,,,,,,corr,,,,,,,,,,100,,,,,
,VALORI (xi),xavg,(xi â€“ xavg)^2,S^2,NUMERO CAMPIONI,Z(0.025) ,95% CI scissor,,Come usare questo file,,,0.2 CASE,0.4 CASE,0.6 CASE,0.8 CASE,0.5 CASE,,,,,,,,,OTHER STUFF,,,880,1,0.035504811681835,,,,,,,,,,samples,quantile,normal expected,mean (np),variance np(p-1),
,880,897.51,-31124.2001,510.838282828266,100,1.96,4.42993944350605,,1) Piazza I valori sotto la colonna valori,,,344,694,1066,1435,880,,p,,,Sample Mean,Theoretical mean of Binomial,CI scissor,,,,,907,2,-0.06062780718011,,,,,,,,,1,832,0.005,861.362560446766,900,15,-2.5758293035489
,907,,17124.7999,,,,left bound,right bound,2) Modifica n con il numero di campioni,,,416,723,1081,1426,907,,0.2,352.232266666667,358.987733333333,355.61,360,3.37773333333303,,,,,896,3,-0.070994521638171,,,Independent,,TODO: add lines but it looks good,,,,2,850,0.015,867.448644336232,,,-2.17009037758456
,896,,-2708.20010000002,,,,893.080060556494,901.939939443506,3) controlla che xavg sia calcolato su tutti gli xi,,,311,711,1088,1435,896,,0.4,713.656795764316,721.883204235684,717.77,720,4.11320423568395,,,,,916,4,0.171757872280616,,,,,,,,,3,858,0.025,870.600540231899,,,-1.95996398454005
,916,,33531.7999,,,,,,,,,380,695,1062,1421,916,,0.5,893.080060556494,901.939939443506,897.51,900,4.42993944350599,,,,,920,5,-0.115973533341711,,,,,,,,,4,859,0.035,872.821339905711,,,-1.8119106729526
,920,,40875.7999,,,,,,,,,368,697,1087,1435,920,,0.6,1075.76258646946,1083.59741353054,1079.68,1080,3.91741353053999,,,,,962,6,-0.018345483728721,,,,,,,,,5,862,0.045,874.569034345918,,,-1.69539771027214
,962,,119919.7999,,,,,,,,,373,713,1074,1467,962,,0.8,1434.59811267457,1440.58188732543,1437.59,1440,2.99188732542984,,,,,893,7,-0.048286127635074,,,,,,,,,6,862,0.055,876.027102901158,,,-1.59819313992282
,893,,-8075.20010000002,,,,,,,,,362,723,1072,1435,893,,,,,,,,,,,,898,8,0.064366469178106,,,,,,,,,7,863,0.065,877.288471685711,,,-1.51410188761928
,898,,879.799899999984,,,,,,,,,356,678,1065,1456,898,,,,,,,,,,,,891,9,-0.149672677662255,,,,,,,,,8,863,0.075,878.407027935923,,,-1.43953147093846
,891,,-11643.2001,,,,,,,,,369,742,1081,1465,891,,,,,,,,,,,,889,10,-0.102544347386077,,,,,,,,,9,867,0.085,879.416942865019,,,-1.37220380899873
,889,,-15203.2001,,,,,,,,,365,749,1060,1441,889,,,,,,,,,,,,877,11,0.026188555901772,,,,,,,,,10,868,0.095,880.341313317478,,,-1.31057911216813
,877,,-36395.2001,,,,,,,,,345,715,1086,1421,877,,,,,,,,,,,,869,12,0.083106397046577,,,,,,,,,11,869,0.105,881.196518422943,,,-1.25356543847045
,869,,-50363.2001,,,,,,,,,343,710,1074,1425,869,,,,,,,,,,,,903,13,-0.062589131180337,,,,,,,,,12,869,0.115,881.994617129537,,,-1.20035885803086
,903,,9884.79989999998,,,,,,,,,361,748,1062,1440,903,,,,,,,,,,,,917,14,0.049548862783674,,,,,,,,,13,871,0.125,882.74475929436,,,-1.15034938037601
,917,,35364.7999,,,,,,,,,353,704,1101,1433,917,,,,,,,,,,,,862,15,0.11973836549873,,,,,,,,,14,873,0.135,883.454061657006,,,-1.1030625561996
,862,,-62480.2001,,,,,,,,,367,720,1122,1435,862,,,,,,,,,,,,832,16,0.043516772113797,,,,,,,,,15,873,0.145,884.128175734728,,,-1.05812161768478
,832,,-113300.2001,,,,,,,,,340,722,1085,1421,832,,,,,,,,,,,,906,17,-0.13303380111167,,,,,,,,,16,873,0.155,884.771669501745,,,-1.01522203321703
,906,,15311.7999,,,,,,,,,325,702,1087,1444,906,,,,,,,,,,,,910,18,0.213604201928395,,,,,,,,,17,874,0.165,885.38829184411,,,-0.974113877059309
,910,,22575.7999,,,,,,,,,351,720,1078,1438,910,,,,,,,,,,,,871,19,0.05803207532253,,,,,,,,,18,877,0.175,885.981160633898,,,-0.93458929107348
,871,,-46883.2001,,,,,,,,,370,742,1077,1453,871,,,,,,,,,,,,878,20,0.012365524943843,,,,,,,,,19,877,0.185,886.552899539971,,,-0.896473364001916
,878,,-34640.2001,,,,,,,,,376,771,1075,1455,878,,,,,,,,,,,,914,21,-0.172476193503911,,,,,,,,,20,878,0.195,887.105739536371,,,-0.859617364241911
,914,,29871.7999,,,,,,,,,361,686,1092,1460,914,,,,,,,,,,,,882,22,0.035190200932916,,,,,,,,,21,880,0.205,887.641595544922,,,-0.823893630338557
,882,,-27600.2001,,,,,,,,,334,697,1073,1460,882,,,,,,,,,,,,917,23,0.004348683882319,,,,,,,,,22,880,0.215,888.162125210127,,,-0.789191652658222
,917,,35364.7999,,,,,,,,,351,692,1059,1415,917,,,,,,,,,,,,897,24,0.118713878250128,,,,,,,,,23,881,0.225,888.668774604593,,,-0.755415026360469
,897,,-915.200100000016,,,,,,,,,350,710,1090,1407,897,,,,,,,,,,,,890,25,-0.172126519231974,,,,,,,,,24,882,0.235,889.162814221079,,,-0.722479051928063
,890,,-13424.2001,,,,,,,,,360,708,1057,1424,890,,,,,,,,,,,,877,26,-0.060834122478548,,,,,,,,,25,882,0.245,889.645367641004,,,-0.690308823933034
,877,,-36395.2001,,,,,,,,,345,711,1086,1439,877,,,,,,,,,,,,896,27,-0.002377509560689,,,,,,,,,26,883,0.255,890.117434608957,,,-0.658837692736188
,896,,-2708.20010000002,,,,,,,,,346,713,1040,1433,896,,,,,,,,,,,,937,28,-0.126221756398638,,,,,,,,,27,884,0.265,890.579909783436,,,-0.62800601443757
,937,,72444.7999,,,,,,,,,360,752,1106,1438,937,,,,,,,,,,,,912,29,-0.026990382938165,,,,,,,,,28,885,0.275,891.033598109363,,,-0.597760126042478
,912,,26219.7999,,,,,,,,,393,738,1050,1442,912,,,,,,,,,,,,882,30,0.136910131282578,,,,,,,,,29,886,0.285,891.479227524915,,,-0.568051498338983
,882,,-27600.2001,,,,,,,,,338,748,1087,1428,882,,,,,,,,,,,,884,31,0.048681472831603,,,,Scatterplot samples vs normal calculated with the binomial,,,,,30,886,0.295,891.917459545823,,,-0.53883603027845
,884,,-24068.2001,,,,,,,,,357,683,1095,1431,884,,,,,,,,,,,,944,32,-0.114585935697498,,,,,,,,,31,887,0.305,892.348898145471,,,-0.510073456968595
,944,,85611.7999,,,,,,,,,365,706,1053,1430,944,,,,,,,,,,,,886,33,-0.060930121525887,,,,,,,,,32,888,0.315,892.774097256229,,,-0.48172684958473
,886,,-20528.2001,,,,,,,,,332,690,1092,1433,886,,,,,,,,,,,,873,34,-0.065091059478992,,,,,,,,,33,889,0.325,893.193567147452,,,-0.453762190169879
,873,,-43395.2001,,,,,,,,,346,727,1065,1459,873,,,,,,,,,,,,912,35,0.185361607071089,,,,,,,,,34,889,0.335,893.607779882381,,,-0.426148007841278
,912,,26219.7999,,,,,,,,,388,705,1091,1405,912,,,,,,,,,,,,897,36,0.018330530180588,,,,,,,,,35,890,0.345,894.017174015365,,,-0.398855065642337
,897,,-915.200100000016,,,,,,,,,331,706,1100,1437,897,,,,,,,,,,,,897,37,-0.024328966213856,,,,,,,,,36,890,0.355,894.422158659224,,,-0.371856089385075
,897,,-915.200100000016,,,,,,,,,355,728,1053,1440,897,,,,,,,,,,,,858,38,-0.047382465796752,,,,,,,,,37,891,0.365,894.823117027943,,,-0.345125531470472
,858,,-69360.2001,,,,,,,,,355,726,1090,1431,858,,,,,,,,,,,,908,39,0.066429804655734,,,,,,,,,38,891,0.375,895.220409540534,,,-0.318639363964375
,908,,18939.7999,,,,,,,,,363,694,1074,1435,908,,,,,,,,,,,,889,40,-0.085327834495445,,,,,,,,,39,891,0.385,895.614376556598,,,-0.292374896226804
,889,,-15203.2001,,,,,,,,,358,734,1117,1440,889,,,,,,,,,,,,923,41,-0.057178173512451,,,,,,,,,40,892,0.395,896.005340801939,,,-0.266310613204095
,923,,46404.7999,,,,,,,,,338,708,1064,1452,923,,,,,,,,,,,,874,42,-0.008586333934113,,,,,,,,,41,892,0.405,896.393609532865,,,-0.240426031142308
,874,,-41648.2001,,,,,,,,,363,705,1080,1432,874,,,,,,,,,,,,917,43,0.035648957865566,,,,,,,,,42,893,0.415,896.779476479974,,,-0.214701568001744
,917,,35364.7999,,,,,,,,,314,722,1031,1427,917,,,,,,,,,,,,899,44,-0.116094577140229,,,,,,,,,43,893,0.425,897.163223605908,,,-0.189118426272792
,899,,2676.79989999998,,,,,,,,,367,736,1050,1437,899,,,,,,,,,,,,885,45,0.03642425924916,,,,,,,,,44,893,0.435,897.545122706503,,,-0.163658486233141
,885,,-22299.2001,,,,,,,,,369,699,1078,1450,885,,,,,,,,,,,,869,46,-0.147373433742858,,,,,,,,,45,894,0.445,897.925436880579,,,-0.138304207961404
,869,,-50363.2001,,,,,,,,,334,751,1075,1434,869,,,,,,,,,,,,923,47,-0.058160590259337,,,,,,,,,46,896,0.455,898.304421890331,,,-0.113038540644565
,923,,46404.7999,,,,,,,,,347,688,1091,1443,923,,,,,,,,,,,,906,48,-0.13354796902699,,,,,,,,,47,896,0.465,898.682327431562,,,-0.087844837895872
,906,,15311.7999,,,,,,,,,336,758,1090,1432,906,,,,,,,,,,,,899,49,0.050039439371218,,,,,,,,,48,897,0.475,899.059398330852,,,-0.062706777943214
,899,,2676.79989999998,,,,,,,,,345,707,1061,1452,899,,,,,,,,,,,,903,50,0.08403565112082,,,,,,,,,49,897,0.485,899.435875685081,,,-0.037608287661256
,903,,9884.79989999998,,,,,,,,,378,703,1058,1421,903,,,,,,,,,,,,868,51,0.065612176643008,,,,,,,,,50,897,0.495,899.811997957379,,,-0.012533469508069
,868,,-52100.2001,,,,,,,,,397,722,1108,1441,868,,,,,,,,,,,,880,52,-0.233755725654852,,,,,,,,,51,898,0.505,900.188002042621,,,0.012533469508069
,880,,-31124.2001,,,,,,,,,368,700,1138,1410,880,,,,,,,,,,,,903,53,0.065734132151239,,,,,,,,,52,898,0.515,900.564124314919,,,0.037608287661256
,903,,9884.79989999998,,,,,,,,,376,719,1069,1436,903,,,,,,,,,,,,863,54,0.23821236858686,,,,,,,,,53,898,0.525,900.940601669148,,,0.062706777943214
,863,,-60755.2001,,,,,,,,,368,740,1112,1415,863,,,,,,,,,,,,913,55,0.065734132151239,,,,,,,,,54,899,0.535,901.317672568438,,,0.087844837895872
,913,,28044.7999,,,,,,,,,341,709,1046,1402,913,,,,,,,,,,,,890,56,-0.233755725654852,,,,,,,,,55,899,0.545,901.695578109669,,,0.113038540644565
,890,,-13424.2001,,,,,,,,,372,736,1092,1457,890,,,,,,,,,,,,893,57,0.065612176643008,,,,,,,,,56,899,0.555,902.074563119421,,,0.138304207961405
,893,,-8075.20010000002,,,,,,,,,352,708,1057,1420,893,,,,,,,,,,,,867,58,0.08403565112082,,,,,,,,,57,901,0.565,902.454877293497,,,0.163658486233141
,867,,-53835.2001,,,,,,,,,334,724,1063,1456,867,,,,,,,,,,,,888,59,0.050039439371218,,,,,,,,,58,902,0.575,902.836776394092,,,0.189118426272793
,888,,-16980.2001,,,,,,,,,350,729,1103,1456,888,,,,,,,,,,,,887,60,-0.13354796902699,,,,,,,,,59,903,0.585,903.220523520026,,,0.214701568001744
,887,,-18755.2001,,,,,,,,,351,725,1051,1469,887,,,,,,,,,,,,913,61,-0.058160590259337,,,,,,,,,60,903,0.595,903.606390467135,,,0.240426031142308
,913,,28044.7999,,,,,,,,,362,668,1109,1436,913,,,,,,,,,,,,891,62,-0.147373433742858,,,,,,,,,61,903,0.605,903.994659198061,,,0.266310613204095
,891,,-11643.2001,,,,,,,,,367,703,1074,1439,891,,,,,,,,,,,,925,63,0.03642425924916,,,,,,,,,62,905,0.615,904.385623443402,,,0.292374896226804
,925,,50100.7999,,,,,,,,,350,711,1075,1421,925,,,,,,,,,,,,873,64,-0.116094577140229,,,,,,,,,63,906,0.625,904.779590459466,,,0.318639363964375
,873,,-43395.2001,,,,,,,,,361,707,1092,1438,873,,,,,,,,,,,,910,65,0.035648957865566,,,,,,,,,64,906,0.635,905.176882972057,,,0.345125531470472
